datetime,index,site,location,wl_below_surface_m,temperature,salinity,p_h,do_mgl,p_h_orp,peak,d_time,d_do,do_rate,max_do,mean_depth,mean_temp,mean_salinity,mean_ph,hours
2022-04-21T22:15:00Z,183,OWC,TR,-0.03112816813080921,7.13,0.27,7.5,4.67,254.4,2,126.25,9.34,0.07398019801980198,9.34,-0.015422941486688626,7.301640316205534,0.26956521739130435,7.3896837944664036,45.5
2022-04-21T22:30:00Z,184,OWC,TR,-0.03042509419628519,7.13,0.27,7.5,4.66,256.9,2,126.25,9.34,0.07398019801980198,9.34,-0.015422941486688626,7.301640316205534,0.26956521739130435,7.3896837944664036,45.75
2022-04-21T22:45:00Z,185,OWC,TR,-0.02972202026176118,7.13,0.27,7.5,4.65,258.5,2,126.25,9.34,0.07398019801980198,9.34,-0.015422941486688626,7.301640316205534,0.26956521739130435,7.3896837944664036,46
2022-04-21T23:00:00Z,186,OWC,TR,-0.0332373899343813,7.13,0.27,7.49,4.59,249.5,2,126.25,9.34,0.07398019801980198,9.34,-0.015422941486688626,7.301640316205534,0.26956521739130435,7.3896837944664036,46.25
2022-04-21T23:15:00Z,187,OWC,TR,-0.03253431599985723,7.13,0.27,7.49,4.59,253.9,2,126.25,9.34,0.07398019801980198,9.34,-0.015422941486688626,7.301640316205534,0.26956521739130435,7.3896837944664036,46.5
2022-04-21T23:30:00Z,188,OWC,TR,-0.03253431599985723,7.13,0.27,7.49,4.59,256.7,2,126.25,9.34,0.07398019801980198,9.34,-0.015422941486688626,7.301640316205534,0.26956521739130435,7.3896837944664036,46.75
2022-04-21T23:45:00Z,189,OWC,TR,-0.03183124206533322,7.14,0.27,7.49,4.59,258.5,2,126.25,9.34,0.07398019801980198,9.34,-0.015422941486688626,7.301640316205534,0.26956521739130435,7.3896837944664036,47
2022-04-22T00:00:00Z,190,OWC,TR,-0.03112816813080921,7.14,0.27,7.48,4.5,251.1,2,126.25,9.34,0.07398019801980198,9.34,-0.015422941486688626,7.301640316205534,0.26956521739130435,7.3896837944664036,47.25
2022-04-22T00:15:00Z,191,OWC,TR,-0.0332373899343813,7.14,0.27,7.48,4.49,255,2,126.25,9.34,0.07398019801980198,9.34,-0.015422941486688626,7.301640316205534,0.26956521739130435,7.3896837944664036,47.5
2022-04-22T00:30:00Z,192,OWC,TR,-0.03253431599985723,7.14,0.27,7.48,4.48,257.3,2,126.25,9.34,0.07398019801980198,9.34,-0.015422941486688626,7.301640316205534,0.26956521739130435,7.3896837944664036,47.75
