,Cation Summary Report,,,,,,
,,,,,,,
No. ,Name ,Time ,Area ,Rel.Area ,Height ,Rel.Height ,Amount 
,,min,µS*min,%,µS,%,mg/l
,,CD_1,CD_1,CD_1,CD_1,CD_1,CD_1
,,Lithium,Lithium,Lithium,Lithium,Lithium,Lithium
1,DI Water,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
31,11,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
32,12,9.893  ,0.0044  ,0.05,0.00  ,0.02,n.a.
33,13,9.860  ,0.0042  ,0.05,0.00  ,0.02,n.a.
34,14,9.893  ,0.0057  ,0.05,0.00  ,0.02,n.a.
35,15,9.880  ,0.0051  ,0.05,0.00  ,0.02,n.a.
36,16,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
37,17,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
38,18,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
39,19,9.923  ,0.0149  ,0.09,0.02  ,0.07,n.a.
40,20,9.920  ,0.0156  ,0.09,0.02  ,0.07,n.a.
41,21,9.910  ,0.0021  ,6.96,0.01  ,10.16,n.a.
42,C-5x,9.887  ,10.8098  ,4.20,22.62  ,4.70,30.1423  
43,MQ Blank 1,9.927  ,0.0013  ,7.68,0.01  ,17.90,n.a.
44,22,9.923  ,0.0020  ,0.01,0.00  ,0.01,n.a.
45,23,9.917  ,0.0022  ,0.01,0.00  ,0.01,n.a.
46,24,9.923  ,0.0015  ,0.01,0.00  ,0.01,n.a.
47,25,9.933  ,0.0017  ,0.01,0.00  ,0.01,n.a.
48,26,9.917  ,0.0013  ,0.01,0.00  ,0.01,n.a.
49,27,9.927  ,0.0522  ,4.31,0.21  ,6.31,n.a.
50,28,9.930  ,0.0512  ,4.39,0.21  ,6.46,n.a.
51,29,9.930  ,0.0513  ,3.91,0.21  ,5.83,n.a.
52,30,9.923  ,0.0495  ,3.83,0.20  ,5.58,n.a.
53,31,9.927  ,0.0462  ,3.60,0.19  ,5.39,n.a.
54,32,9.907  ,0.0112  ,0.06,0.01  ,0.02,n.a.
55,33,9.907  ,0.0085  ,0.05,0.01  ,0.02,n.a.
56,34,9.930  ,0.0087  ,0.05,0.01  ,0.02,n.a.
57,35,9.927  ,0.0063  ,0.02,0.01  ,0.02,n.a.
58,36,9.920  ,0.0067  ,0.03,0.01  ,0.02,n.a.
59,37,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
60,IV 10x Cation Std,9.933  ,3.8493  ,6.47,9.38  ,5.13,10.3537  
61,38,9.883  ,0.0111  ,0.04,0.01  ,0.02,n.a.
62,39,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
63,40,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
64,41,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
65,42,9.927  ,0.0064  ,8.27,0.03  ,11.89,n.a.
66,C-400x,9.933  ,0.4290  ,12.87,1.47  ,17.74,0.6298  
67,MQ Blank 2,9.930  ,0.0005  ,3.03,0.00  ,7.98,n.a.
68,43,9.947  ,0.0024  ,0.01,0.00  ,0.01,n.a.
69,44,9.940  ,0.0018  ,0.01,0.00  ,0.01,n.a.
