,Anion Summary Report,,,,,,,
,,,,,,,,
No. ,Name ,Dilution ,Time ,Area ,Rel.Area ,Height ,Rel.Height ,Amount 
,,,min,µS*min,%,µS,%,ppm
,,,CD_1_Total,CD_1_Total,CD_1_Total,CD_1_Total,CD_1_Total,CD_1_Total
,,,Fluoride,Fluoride,Fluoride,Fluoride,Fluoride,Fluoride
49,32,1.0000,3.820  ,0.5356  ,6.83,5.97  ,11.02,1.3555  
50,33,1.0000,3.817  ,0.4891  ,7.02,5.46  ,11.23,1.2267  
51,34,1.0000,3.810  ,0.4908  ,7.17,5.47  ,11.44,1.2315  
52,35,1.0000,3.813  ,0.4208  ,7.29,4.68  ,12.08,1.0380  
53,36,1.0000,3.813  ,0.4304  ,7.19,4.86  ,11.76,1.0644  
54,37,1.0000,3.817  ,0.7383  ,3.95,8.24  ,5.37,1.9160  
55,5 ppm F/10 ppm Anion  Std,1.0000,3.817  ,3.6867  ,21.65,40.86  ,26.64,10.0701  
56,38,1.0000,3.810  ,0.7244  ,3.99,8.11  ,5.41,1.8776  
57,39,1.0000,3.813  ,0.7227  ,3.86,8.08  ,5.25,1.8729  
58,40,1.0000,3.817  ,0.7315  ,3.76,8.18  ,5.15,1.8972  
59,41,1.0000,3.810  ,0.7690  ,3.61,8.58  ,4.98,2.0009  
60,42,1.0000,3.810  ,0.0139  ,10.64,0.16  ,16.79,n.a.
61,A-400x,1.0000,3.817  ,0.0854  ,19.58,0.98  ,25.80,0.1102  
62,MQ Blank 2,1.0000,3.807  ,0.0017  ,1.97,0.02  ,3.87,n.a.
63,43,1.0000,3.810  ,0.1700  ,1.57,1.93  ,2.83,0.3442  
64,44,1.0000,3.810  ,0.1705  ,1.57,1.94  ,2.82,0.3457  
65,45,1.0000,3.817  ,0.1763  ,1.76,1.99  ,3.10,0.3616  
66,46,1.0000,3.813  ,0.1059  ,1.66,1.20  ,2.80,0.1670  
67,47,1.0000,3.807  ,0.1206  ,1.63,1.37  ,2.81,0.2077  
68,48,1.0000,3.813  ,0.1152  ,12.51,1.32  ,16.40,0.1927  
69,49,1.0000,3.817  ,0.1010  ,12.01,1.16  ,15.63,0.1536  
70,50,1.0000,3.810  ,0.1062  ,12.71,1.22  ,16.60,0.1679  
71,51,1.0000,3.810  ,0.1036  ,12.05,1.19  ,15.78,0.1607  
72,52,1.0000,3.810  ,0.0998  ,11.74,1.15  ,15.46,0.1501  
73,53,1.0000,3.810  ,0.6112  ,11.44,6.81  ,17.84,1.5644  
74,54,1.0000,3.817  ,0.6189  ,16.19,6.89  ,24.49,1.5858  
75,55,1.0000,3.817  ,0.5912  ,8.24,6.61  ,13.21,1.5093  
76,56,1.0000,3.820  ,0.5403  ,11.48,6.03  ,17.67,1.3685  
77,57,1.0000,3.820  ,0.3044  ,8.18,3.43  ,13.12,0.7159  
78,58,1.0000,3.810  ,0.7828  ,3.50,8.75  ,4.87,2.0389  
79,59,1.0000,3.817  ,0.7613  ,3.45,8.51  ,4.79,1.9797  
80,60,1.0000,3.813  ,0.6351  ,3.28,7.11  ,4.49,1.6307  
81,61,1.0000,3.810  ,0.7456  ,3.51,8.34  ,4.85,1.9362  
82,62,1.0000,3.817  ,0.7275  ,3.63,8.13  ,4.98,1.8862  
83,63,1.0000,3.813  ,0.0031  ,3.25,0.04  ,6.38,n.a.
84,A-200x,1.0000,3.807  ,0.1864  ,21.01,2.12  ,28.15,0.3895  
85,MQ Blank 3,1.0000,3.803  ,0.0042  ,3.76,0.02  ,4.28,n.a.
86,64,1.0000,3.817  ,0.2708  ,4.59,3.02  ,7.89,0.6230  
87,65,1.0000,3.817  ,0.2701  ,4.36,3.02  ,7.47,0.6211  
88,66,1.0000,3.810  ,0.2502  ,4.13,2.81  ,7.08,0.5662  
